f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,target
-1.1767528,0.14827004,-2.328998,-2.539968,1.1506739,-1.5449945,0.7153125,-0.93022954,2.0172658,-0.5162274,-1.3088968,1.3976322,-1.7711247,2.0113707,2.6244504,1.1691957,3.0258608,-0.72353876,-0.48984307,0.17926368,-0.62827355,-1.0708821,-0.19358304,0.5555271,1.1115594,-1.2452786,-1.801022,-1.447302,-1.4864533,-1.6528816,0
0.36391017,-0.08420479,-2.0311947,-0.6496589,-1.1790344,-0.6507311,0.7667738,-0.51679146,1.1252075,0.1888662,-0.48135936,1.5239564,1.2554972,0.42632383,3.7727392,0.73426044,2.8123221,-0.78743243,-1.2511241,0.82023513,-1.0485384,0.37583327,0.94906294,0.8134085,2.272193,-0.16929972,-0.54522073,-2.1912189,-1.1830764,-1.7349883,0
-1.5050063,-0.44826245,-2.2775042,-1.8044934,-0.15107211,-0.8225335,1.1161102,0.71001387,0.6675224,-2.386171,-1.2744526,-1.3160269,-0.83044565,2.1507907,0.84868425,2.0484414,1.3697135,-1.565454,-1.642953,0.015827447,-1.733623,-0.56529415,0.6699014,0.96939623,-0.4434992,0.60583013,-2.331158,-1.8899261,-1.707561,-0.8036807,0
-2.2724583,-0.7305205,-1.532706,-2.4756446,1.0430126,-0.7143688,1.6918068,-0.8311271,2.1853955,0.2604685,-1.5786941,1.174142,-2.3744504,1.5642158,1.4306988,1.708288,1.9186165,-0.9339055,-1.5589443,0.7956712,-1.482183,-0.6561746,-0.27904087,0.85089326,0.13629842,-0.5025644,-1.4253469,-0.6275265,0.6179805,-1.857936,0
-0.60172606,0.5419316,-1.3807299,-1.8928332,-0.3503026,-0.6283839,1.1733601,0.55325,0.6583984,-1.3194312,-1.676472,0.9137932,-1.284836,3.0663853,2.1848545,1.9897625,2.2165318,0.12189132,-1.1152552,0.2998776,-1.9360992,-1.2931739,0.26430255,-1.2038498,0.35605514,1.5593604,-1.8664005,-0.6632265,-1.6322136,-0.49847722,0
-1.869526,-0.40476272,-1.1474591,-3.634223,-0.66731024,-0.9888905,-0.05279818,-0.33216703,1.0994308,-1.4088583,-1.5381136,0.07815421,-0.81589526,2.2999325,3.1495411,0.39569077,0.8692259,-1.2829797,-1.7095152,-0.36029053,-2.198984,0.40991908,0.3724858,0.8882965,0.53729326,-0.8971607,-1.2192043,-0.87870973,-1.6486902,-0.9896537,0
-1.1202009,0.029758364,-0.9479747,-4.1202707,0.38077414,-2.7275975,1.5416017,-1.3591774,0.8651234,-1.3906171,-1.4090194,0.6629913,-1.6062626,2.068668,2.4481897,0.20852771,1.9774492,-0.33091834,-0.91056293,-0.17629234,-1.5098858,-0.33639163,0.6616315,0.44232738,0.42594135,-0.5676467,-2.5090413,-1.2133291,-0.5527132,0.28465492,0
-1.2324331,0.9049839,-0.8809434,-1.7783028,-0.75509393,-1.6908429,1.4434712,-0.55899096,0.6159673,-0.40213084,-2.1769865,1.5412006,-2.184079,1.3156204,2.807662,1.5892091,2.1808732,-1.2632658,-1.4948257,1.283367,-1.989028,-0.48247275,1.951107,1.3228635,0.8317244,-0.5000551,-1.3889217,-1.433163,-1.6994638,-0.8925381,0
-0.4834979,0.33337024,-0.9755354,-1.9657754,-1.0254762,-0.2763218,2.0710616,0.04169923,0.23579983,-2.037938,-1.4119905,0.40711004,-0.17807811,2.5541706,1.3668028,2.5789936,1.7460439,-0.108083844,-1.4999545,1.8271018,-1.2006246,-1.6303611,0.43517753,-0.4699409,0.43861735,0.18137546,-2.0070107,-1.1435063,-1.1655691,-2.7480292,0
-2.145542,0.4958389,-1.3900416,-1.5860767,-1.471909,-2.2390645,0.64602494,-0.40034658,1.3381535,-0.25395662,-1.8523368,0.3944928,-1.8382399,2.0869608,2.6694036,0.6269499,1.0556581,-0.5035119,-1.8170338,1.8376194,-1.6647459,0.028647125,0.6132241,0.41365546,1.192646,-0.16916475,-0.75049543,-0.30433616,-1.8609498,-1.3092483,0
-0.7782436,0.1317288,-3.0662737,0.44204044,-0.20888501,-1.2791401,0.3329015,0.21325526,1.3810928,0.6964547,-1.6329398,0.019861653,-0.7106581,2.9079123,1.5173705,1.5517479,1.4688506,-1.4447644,0.2556464,-0.48067588,-2.529587,-0.10692763,1.177957,-0.1918486,1.3148592,0.034806967,-1.428781,-1.0213128,-1.9487004,-0.6521681,0
-2.304273,-0.34063202,-2.4994187,-1.647687,0.63952965,-0.9707134,0.27970394,0.07269877,1.6124985,-0.68058753,-0.73525053,0.82085466,-1.0677326,2.5082622,1.3903611,1.1889615,1.4938681,-1.4125104,-1.2212218,0.9398737,-2.2877085,-0.27709538,-0.84503543,-0.46978873,-0.18111527,0.044267535,-2.489381,-0.8361733,-0.9156163,-0.42171612,0
-1.4197863,0.68638635,-1.3107364,-1.6269163,0.01842001,-1.2215328,0.105856,-0.8371399,0.80334127,-0.4358994,-0.8255439,1.2697868,-1.9398857,1.3160503,4.3821335,1.2385526,2.0540879,-0.3047823,-1.0934225,1.2454467,-2.3957763,-0.36090747,0.90370035,-0.712043,0.39959025,1.206637,-0.7296181,-1.2425399,-0.9087637,-0.84871036,0
-2.0280514,-0.4499542,-1.4508631,-0.9384523,0.5237777,-0.7645904,0.2411077,0.012337983,1.2624868,-0.8179196,-0.46415585,0.60156953,-1.4819325,0.7660389,0.9544848,0.7743391,1.216322,-1.8001902,0.29782954,-0.35852087,-1.4984199,-0.52398014,0.28627276,-0.30093884,-0.10390407,0.27428842,-1.850108,-0.4765021,-0.24188119,0.3796376,0
-2.100402,-0.75262904,-1.6814502,-0.07504733,0.7252441,-0.7669016,0.21162105,-1.2091815,1.8393977,0.012357108,0.13544801,0.4383452,-1.5222481,0.961584,1.8749434,1.1372163,0.7283371,-2.3263247,-0.4451616,0.017783135,-1.6846945,0.04186189,-0.7443925,0.20456648,0.6705497,-0.88289434,-1.093504,0.2307972,0.21524358,-0.07022309,0
-2.75048,-0.5706165,-1.7999204,-1.3503577,-0.4106651,-1.1814711,2.5757475,0.17424244,0.9057437,-0.68711656,-0.07897428,0.9245777,-1.4794942,1.4875225,0.61376786,0.12348208,0.96114916,-1.7949123,-0.6622298,3.8889582,0.033911362,-0.8596558,0.88141084,-0.06652683,-0.019544244,-0.09834272,-2.4662466,-0.5460578,0.26082313,-0.019509524,0
-1.2667243,-0.59511006,-1.9963685,-1.9150695,-0.56628513,-0.49506643,2.734044,-0.2558238,-0.29439235,-1.2704612,-0.67805177,-0.7946261,-0.69588566,3.4992805,2.1883907,1.03743,0.31057447,-1.3139439,-1.5454639,2.7751477,0.7028665,-1.1424116,0.88367236,-0.12970427,-0.04652059,-0.32156527,-1.3176763,-0.5056232,-2.133996,-1.8533252,0
-2.5972579,-0.15704194,-1.3826566,-2.686779,-1.0320777,-1.8035483,0.38000476,-0.64841306,0.5249362,-1.1053135,-0.8136526,-0.31040117,-0.7216558,2.0904775,2.2289813,1.4752789,0.6624326,-1.5768309,-1.665463,0.7569287,-1.1795037,-0.28745216,-0.08297601,1.4255146,0.5810989,-0.6793275,-1.631348,-0.3998403,-1.6791412,-0.83091617,0
-1.9690748,0.03599927,-1.8581171,-1.0867558,0.9604221,0.52396286,1.6918731,-0.64636505,1.6145196,0.46273884,-0.21665266,0.7868357,-0.43029737,1.6358398,0.9117861,2.1549172,0.70551604,-2.771158,-0.79580206,0.029185385,-1.6843629,-1.0092473,-1.112669,-0.1660356,0.19976246,-1.2131771,-1.6315577,0.84199834,0.51438093,-2.5661244,0
-2.5126426,-0.32190442,-0.17346251,-0.8122689,-0.19990821,-0.24491253,2.8512552,-1.213398,1.18417,-1.6156596,-0.028946023,1.5174848,-1.0455616,1.7406636,0.10793758,1.8747919,0.52715665,-1.7293713,-0.9636542,2.8852873,-0.7673598,-1.1314112,0.4220856,-0.50048435,-0.19163465,-0.6663656,-2.2397995,1.1545217,0.03410721,-0.07745884,0
-2.2505295,0.14591661,-0.9962077,-1.6652015,0.30387598,0.22420654,0.8915814,-0.026206672,1.4118365,-1.7742295,0.30893472,0.85424566,-1.6536283,1.8369058,1.1730533,1.2499408,-0.5150763,-1.8507643,-0.20834887,2.1287296,-0.99001896,-1.9723372,0.5242382,0.10995495,-1.2206256,-0.651042,-2.5587876,-0.09770635,-0.49418944,-1.0559938,0
-3.4876816,0.3140867,-1.1811604,-0.28825796,-0.17237543,-0.88909984,2.4323761,-1.0634959,0.6854021,-0.93773305,0.5307819,-0.29565677,-2.088425,1.3842603,0.056160934,0.46109888,0.08759242,-2.2641976,-0.94967824,2.9618402,-0.5795408,-0.95031667,0.9317907,-0.5471883,-0.07784629,-0.49428082,-0.9063192,-0.22095373,0.17133534,-0.80137765,0
-2.0764656,-0.39402828,-0.97720575,-1.0866804,0.6962543,0.26413128,1.6464243,0.19617787,0.92261124,-2.0089505,0.4601807,0.2599225,-1.3373933,0.9772477,0.14791214,1.787648,-0.20684984,-2.5279138,-0.34113926,0.97388244,-0.92168,-1.4898026,0.17220473,-0.49198115,-1.066859,0.33306777,-2.7080162,0.264639,0.79908335,-0.46212137,0
-2.8077934,-0.14892426,-1.4376802,0.03487596,-0.14940953,-0.06560227,1.7672536,0.06252414,0.62676144,-1.3558171,0.40731138,-0.19707385,-1.0341268,2.2465382,0.07033292,2.3190823,0.21805447,-2.8832774,-0.9123335,1.2975712,-0.7530939,-1.2658765,0.015266269,-0.5197018,-0.7499919,0.69260156,-2.169495,0.28864196,1.166075,-0.720191,0
-3.151564,-1.2258058,-2.6649132,-1.5921621,0.3551032,-0.98497057,1.2565637,-0.4922173,0.25674844,-1.5363986,0.66309315,-0.57431066,-1.2521169,2.7582397,2.8306313,0.014566928,-0.23201182,-1.0109286,-0.8334373,2.504583,-0.30641901,-0.13780513,0.82274884,-0.4459547,-0.12655485,-2.3263817,-2.3344388,-0.875306,-0.6184145,0.0040067434,0
